id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,M,1.6125,1.225,0.3875,37.32211675,15.03940975,8.2497045,9.51125725,11.0
1,I,1.425,1.1125,0.3875,24.79163775,8.8733935,5.06038575,8.221355,12.0
2,M,1.4,1.1625,0.3625,26.2232875,11.01378075,4.9044635,7.7961125,11.0
3,F,1.6125,1.2625,0.475,35.81959325,15.0535845,8.391452,9.355335,10.0
4,F,1.4625,1.125,0.45,28.7180435,9.14271375,5.8116475,9.07184,16.0
5,F,1.5,1.1875,0.3875,28.64716975,12.927372,5.8683465,7.5126175,9.0
6,M,1.5125,1.2,0.35,29.199985,12.20445975,6.22271525,8.0796075,10.0
7,I,1.0875,0.85,0.2875,12.6722265,5.28718175,2.79242575,4.3941725,9.0
8,I,0.4375,0.3125,0.1,0.77961125,0.21262125,0.1417475,0.2551455,4.0
9,F,1.475,1.1375,0.375,32.16250775,14.67086625,6.95980225,8.6465975,13.0
10,I,0.975,0.775,0.225,9.63883,4.03980375,2.08368825,2.4097075,7.0
11,F,1.6,1.275,0.4125,32.10580875,14.288148,6.36446275,9.4970825,11.0
12,M,1.25,0.95,0.3875,18.597272,5.82582225,4.09650275,6.520385,17.0
13,I,0.6875,0.5125,0.1875,3.30271675,1.54504775,0.80796075,0.9922325,5.0
14,M,1.5625,1.2,0.375,31.62386725,14.17475,6.93145275,8.9300925,9.0
15,M,1.4,1.1,0.3375,23.57260925,10.829509,4.309124,7.37087,8.0
16,I,0.7125,0.525,0.2125,4.09650275,1.8427175,0.86465975,1.09145575,6.0
17,M,1.1,0.85,0.3,11.21222725,4.1673765,2.33883375,3.96893,7.0
18,F,1.55,1.2125,0.475,34.302895,15.37960375,7.4559185,8.6465975,10.0
19,I,1.1875,0.9,0.3,13.53688625,5.96756975,2.50893075,4.252425,8.0
20,F,1.55,1.25,0.4375,36.32988425,13.82038125,8.051258,13.60776,11.0
21,I,1.5625,1.225,0.425,30.0221205,14.69921575,7.767763,8.221355,9.0
22,I,1.0625,0.775,0.2875,9.468733,4.83358975,2.08368825,2.778251,9.0
23,F,1.4375,1.125,0.3375,26.46425825,11.60912025,5.20213325,7.087375,11.0
24,M,1.425,1.1125,0.4125,27.839209,11.8784405,6.4920355,7.7961125,12.0
25,I,0.625,0.45,0.1625,2.16873675,0.963883,0.396893,0.60951425,4.0
26,I,0.925,0.7125,0.225,5.6415505,2.1829115,1.1623295,1.70097,7.0
27,I,0.85,0.65,0.2,5.10291,2.26796,1.48834875,1.5592225,7.0
28,M,0.95,0.7,0.25,7.55514175,2.9199985,1.417475,2.26796,10.0
29,I,0.65,0.4875,0.2,2.8066005,1.0489315,0.680388,0.850485,5.0
30,I,1.15,0.8375,0.275,12.54465375,5.11708475,2.42388225,3.118445,7.0
31,F,1.425,1.1125,0.3875,27.895908,13.79203175,5.74077375,7.72523875,7.0
32,F,1.6,1.3125,0.4375,41.48949325,19.0792135,8.618248,10.489315,11.0
33,F,1.525,1.1875,0.5,45.812792,11.793392,9.62465525,16.44271,16.0
34,M,1.4375,1.125,0.375,28.8314415,12.34620725,5.82582225,8.1363065,15.0
35,F,1.2625,0.9625,0.3125,16.42853525,7.087375,3.72795925,4.6776675,9.0
36,I,0.775,0.6,0.2,3.6003865,1.34660125,0.83631025,1.13398,6.0
37,I,1.1,0.875,0.3125,12.757275,4.9611625,2.9199985,4.9611625,8.0
38,M,1.5,1.175,0.3625,29.27085875,13.99047825,6.27941425,7.7961125,9.0
39,F,1.375,1.0625,0.3375,21.87163925,8.57572375,4.43669675,7.087375,15.0
40,M,1.15,0.875,0.3,13.777857,5.14543425,3.6003865,4.3941725,8.0
41,M,1.6125,1.225,0.4,33.1972645,13.02659525,9.695529,9.02931575,11.0
42,M,1.3875,1.1,0.4,23.48756075,7.24329725,3.86970675,7.654365,18.0
43,M,1.675,1.3125,0.4125,38.215126,15.2803805,8.68912175,9.6104805,12.0
44,F,1.3,1.075,0.325,23.7285315,10.6877615,4.8477645,6.39281225,9.0
45,M,0.95,0.75,0.25,7.95203475,3.118445,1.77184375,2.4097075,10.0
46,M,1.575,1.2375,0.4625,37.931631,16.726205,9.96484925,10.07824725,9.0
47,I,0.9375,0.675,0.175,6.30776375,3.118445,1.28990225,1.644271,7.0
48,I,1.125,0.8375,0.2875,13.777857,5.34388075,2.4664065,3.118445,6.0
49,I,0.6375,0.4875,0.1375,2.83495,1.077281,0.83631025,0.737087,3.0
50,I,1.4125,1.075,0.3375,22.169309,10.035723,5.0178615,6.9456275,8.0
51,F,1.5,1.2,0.35,32.715323,13.42348825,6.95980225,7.2291225,10.0
52,F,1.4875,1.2,0.4125,29.540179,12.530479,5.14543425,9.7805775,12.0
53,I,0.7875,0.575,0.175,3.30271675,1.2190285,0.8788345,1.13398,5.0
54,M,1.575,1.2125,0.4125,34.06192425,15.37960375,7.86698625,8.3631025,9.0
55,M,1.2875,0.9875,0.3125,20.76600875,9.05766525,3.96893,4.9611625,7.0
56,I,1.075,0.8125,0.25,10.95708175,4.422522,2.041164,2.9766975,7.0
57,I,1.3125,1.0,0.3375,17.08057375,7.35669525,4.09650275,4.9611625,8.0
58,M,0.925,0.6875,0.25,6.180191,2.50893075,1.09145575,2.26796,8.0
59,M,1.0125,0.7625,0.2875,9.07184,4.2807745,2.08368825,2.494756,10.0
60,M,1.15,0.9375,0.3125,13.2392165,4.83358975,2.25378525,5.2446575,14.0
61,F,1.625,1.275,0.5125,43.02036625,18.38465075,8.34892775,12.757275,13.0
62,M,1.65,1.3,0.5,38.385223,17.42076775,8.2497045,11.623295,10.0
63,F,1.65,1.2625,0.375,37.931631,17.67591325,7.15824875,9.922325,8.0
64,I,1.2375,0.925,0.3,13.437663,5.0745605,2.948348,4.252425,9.0
65,M,1.15,0.875,0.2625,11.736693,5.273007,2.36718325,4.1106775,9.0
66,I,1.0625,0.8125,0.275,9.185238,4.2807745,1.7860185,3.5436875,8.0
67,F,1.4125,1.1,0.375,24.42309425,10.73028575,5.6982495,6.9456275,8.0
68,F,1.3625,1.1,0.3625,22.75047375,9.298636,4.7343665,7.2291225,10.0
69,I,0.8125,0.625,0.2125,5.8116475,2.53728025,1.20485375,1.5592225,5.0
70,I,0.725,0.5625,0.175,4.20990075,1.71514475,0.8788345,1.2757275,5.0
71,I,0.5625,0.425,0.125,1.45999925,0.7654365,0.35436875,0.453592,4.0
72,I,0.5,0.3625,0.1125,0.86465975,0.3118445,0.21262125,0.283495,4.0
73,I,0.7875,0.5875,0.2,3.98310475,1.54504775,0.92135875,1.417475,6.0
74,F,1.6125,1.25,0.4625,39.179009,16.4710595,8.43397625,11.46737275,11.0
75,M,1.6125,1.25,0.4,37.0527965,12.8423235,8.278054,11.056305,12.0
76,I,1.325,1.05,0.425,21.47474625,10.262519,4.89028875,5.953395,9.0
77,I,0.975,0.725,0.225,7.75358825,3.2601925,1.6726205,2.1262125,7.0
78,F,1.125,0.9375,0.2875,14.61416725,6.0951425,3.01922175,4.706017,8.0
79,I,1.3125,1.0625,0.375,24.437269,10.6310625,5.0745605,6.80388,11.0
